# ---- 学习协议参数（M6-B1c 追加；习惯化 P3 + 联想学习 P4；唯一定稿源）----
# 行语义同 mod 行（value 在 fields[9]，位置解析；role=habituation|associative）
# 预注册（清单 §0）：#3 τ_hab∈[3,15] 次/R²≥0.5；#4 恢复用相对判据 R_rest≥0.3×R(1)；
#   §4.1 母版=M5 P5 逃避协议（T=150ms/touch@73ms τ_trans=23/PLM·ALM 60µA/cm²/D_peak）；
#   §4.2 H1 STP u0≈0.6、τ_rec 400–1000ms + RIM 酪胺；§2.2 三因子 η[1e-4,1e-2]/τ_e[100,500]ms
role,neuron_class,synapse_from,synapse_to,synapse_type,g_max_ns,delay_ms,tonic_uA_cm2,value,note
habituation,n_stim,,,,,,,,20,刺激数（Rankin 1990 量级；预注册 20–30）
habituation,isi_ms,,,,,,,,10000.0,刺激间静息窗（Rankin 主协议 10s；短 ISI 展示机制）
habituation,t_stim_ms,,,,,,,,150.0,单刺激窗（= M5 escape t_total）
habituation,touch_start_ms,,,,,,,,50.0,触刺激开始（M5 escape 同款）
habituation,touch_dur_ms,,,,,,,,5.0,触刺激时长
habituation,touch_i0_uA_cm2,,,,,,,,60.0,触刺激密度
habituation,touch_tau_trans_ms,,,,,,,,23.0,转导延迟 τ_trans（G1 定稿 23ms → touch@73ms）
habituation,touch_roles,,,,,,,,PLML|PLMR|ALML|ALMR,触刺激角色（escape 同款前缀）
habituation,rest_ms,,,,,,,,0.0,恢复窗（自发恢复协议；0=不测）
habituation,d_peak_thr,,,,,,,,0.3,方向 sanity 阈值（escape.direction_peak）
habituation,stp_enabled,,,,,,,,1,STP 开关（H1 机制；消融：关 → 无衰减）
habituation,stp_u0,,,,,,,,0.6,STP 基准利用度（M2 Tsodyks–Markram；预注册 u0≈0.6）
habituation,stp_tau_fac_ms,,,,,,,,10.0,STP 易化时间常数（depression-dominant）
habituation,stp_tau_rec_ms,,,,,,,,1000.0,STP 恢复时间常数（预注册 400–1000ms）
habituation,fit_tau_band,,,,,,,,3.0..15.0,τ_hab 预注册带（次；§0 #3）
habituation,fit_r2_min,,,,,,,,0.5,指数拟合 R² 预注册阈值
habituation,recover_frac_min,,,,,,,,0.3,R_rest ≥ 0.3×R(1) 预注册
habituation,fit_seed,,,,,,,,0,拟合确定性 seed
associative,eta,,,,,,,,0.01,三因子训练学习率（预注册窗 [1e-4,1e-2] 上界）
associative,tau_e_ms,,,,,,,,200.0,资格迹时间常数（stdp 段同值）
